country,panel_year,prior_3yr_avg_growth,any_shock_active,num_shocks_active,cpi_annual_avg,target_next_yr_growth
Japan,2004,-0.0344404157301715,0,0,188.88333333333333,-0.08662597863044574
Japan,2005,-0.05720727449651205,0,0,195.29166666666663,-0.09277671061680337
Japan,2006,-0.048722212645341635,0,0,201.59166666666667,-0.037777392677096344
Japan,2007,-0.07239336064144848,0,0,207.34241666666665,-0.14923743454860805
Japan,2008,-0.09326384594750259,0,0,215.3025,-0.1638223225265083
Japan,2009,-0.1169457165840709,0,0,214.537,-0.15429829021661412
Japan,2010,-0.15578601576391016,0,0,218.0555,-0.06420665199115483
Japan,2011,-0.1274424215780924,0,0,224.9391666666667,-0.020135247969417236
Japan,2012,-0.07954673005906206,0,0,229.59391666666667,-0.012030374902401775
Japan,2013,-0.03212409162099128,0,0,232.95708333333337,-0.014063464245973378
Japan,2014,-0.015409695705930796,0,0,236.73616666666663,-0.00020984157038483886
Japan,2015,-0.008767893572919997,0,0,237.017,-0.014799424445939735
Japan,2016,-0.00969091008743265,0,0,240.00716666666665,-0.001438734162331201
Japan,2017,-0.005482666726218592,0,0,245.11958333333337,-0.03516559640018002
Japan,2018,-0.017134585002816987,0,0,251.10683333333336,-0.030906299047678942
Japan,2019,-0.02250354320339672,1,1,255.65741666666668,-0.3984543077818312
Japan,2020,-0.15484206774323006,1,4,258.8111666666667,0.13207721745331646
Japan,2021,-0.0990944631253979,1,3,270.96975000000003,0.17705328586797364
Japan,2022,-0.029774601486847036,0,0,292.6549166666667,-0.13983357817876474
Japan,2023,0.05643230838084179,1,1,304.7015833333333,-0.010441890863839731
Mexico,2000,0.005921904790328725,0,0,172.20000000000002,0.15973154318884752
Mexico,2001,0.08282672398958812,0,0,177.0666666666667,0.022355684371463624
Mexico,2002,0.06266971078354662,1,1,179.875,0.040418819747909396
Mexico,2003,0.07416868243607351,1,1,183.95833333333337,-0.020158306117455282
Mexico,2004,0.01420539933397258,0,0,188.88333333333333,0.06433276621966044
Mexico,2005,0.028197759950038186,0,0,195.29166666666663,-0.007565695201014577
Mexico,2006,0.012202921633730194,0,0,201.59166666666667,0.07057318344558361
Mexico,2007,0.042446751488076494,0,0,207.34241666666665,0.0008758042800529608
Mexico,2008,0.021294430841540663,0,0,215.3025,-0.09902075920086162
Mexico,2009,-0.009190590491741682,0,0,214.537,0.019365181969869028
Mexico,2010,-0.026259924316979877,0,0,218.0555,0.01304082814900731
Mexico,2011,-0.02220491636066176,0,0,224.9391666666667,0.021786423425496082
Mexico,2012,0.018064144514790808,0,0,229.59391666666667,0.04003571464021505
Mexico,2013,0.024954322071572815,0,0,232.95708333333337,0.14306024467052936
Mexico,2014,0.06829412757874682,0,0,236.73616666666663,-0.018884681390527902
Mexico,2015,0.05473709264007217,0,0,237.017,0.006077235100601541
Mexico,2016,0.043417599460201,0,0,240.00716666666665,-0.0846866788679872
Mexico,2017,-0.03249804171930452,0,0,245.11958333333337,-0.01557186887549733
Mexico,2018,-0.03139377088096099,0,0,251.10683333333336,-0.05959094519951691
Mexico,2019,-0.05328316431433381,1,1,255.65741666666668,-0.0997387055837411
Mexico,2020,-0.05830050655291844,1,4,258.8111666666667,0.11027679534023349
Mexico,2021,-0.016350951814341503,1,3,270.96975000000003,0.00282359610481997
Mexico,2022,0.004453895287104122,0,0,292.6549166666667,0.062188950595913894
Mexico,2023,0.05842978068032245,1,1,304.7015833333333,0.011437508220902615
Nepal,2000,0.08236906828867419,0,0,172.20000000000002,0.1425149832369943
Nepal,2001,0.11244202576283424,0,0,177.0666666666667,0.2112144504719815
Nepal,2002,0.14536616733255,1,1,179.875,0.16182144844903057
Nepal,2003,0.1718502940526688,1,1,183.95833333333337,0.10328262841760427
Nepal,2004,0.15877284244620546,0,0,188.88333333333333,0.22063062490583008
Nepal,2005,0.16191156725748831,0,0,195.29166666666663,0.24633403627958828
Nepal,2006,0.1900824298676742,0,0,201.59166666666667,0.14187922251816332
Nepal,2007,0.2029479612345272,0,0,207.34241666666665,0.2592777624353406
Nepal,2008,0.21583034041103075,0,0,215.3025,-0.030509949542809167
Nepal,2009,0.12354901180356492,0,0,214.537,-0.08661489675787593
Nepal,2010,0.04738430537821851,0,0,218.0555,-0.0682927685224275
Nepal,2011,-0.0618058716077042,0,0,224.9391666666667,-0.07565226278721049
Nepal,2012,-0.07685330935583796,0,0,229.59391666666667,-0.08966471051894054
Nepal,2013,-0.07786991394285951,0,0,232.95708333333337,0.00036780482238896184
Nepal,2014,-0.05498305616125402,0,0,236.73616666666663,0.16920162523684823
Nepal,2015,0.026634906513432217,0,0,237.017,0.18340769825427117
Nepal,2016,0.11765904277116945,0,0,240.00716666666665,0.13389748395763057
Nepal,2017,0.16216893581625,0,0,245.11958333333337,-0.0030944588638721626
Nepal,2018,0.10473690778267652,0,0,251.10683333333336,-0.038449976910928996
Nepal,2019,0.03078434939427647,1,1,255.65741666666668,-0.1305507644863848
Nepal,2020,-0.057365066753728655,1,4,258.8111666666667,0.05460413403485198
Nepal,2021,-0.03813220245415394,1,3,270.96975000000003,0.2460174906619752
Nepal,2022,0.05669028673681412,0,0,292.6549166666667,0.10388825945810787
